gdp_cap,life_exp,pop,col,life_exp1950
641.3695236000002,58.04,4.906585,blue,35.93
690.8055759,52.946999999999996,76.511887,blue,34.08
33207.0844,79.313,5.23846,green,66.55
30470.0167,80.657,61.083916,green,67.41
13206.48452,56.735,1.454867,blue,37.0
752.7497265,59.448,1.688359,blue,30.0
32170.37442,79.406,82.40099599999998,green,67.5
1327.60891,60.022,22.873338,blue,43.15
27538.41188,79.483,10.70629,green,65.86
5186.050003,70.259,12.572928,yellow,42.02
942.6542111,56.007,9.947814,blue,33.61
579.2317429999998,46.38800000000001,1.472041,blue,32.5
1201.637154,60.916000000000004,8.502814,yellow,37.58
3548.330846000001,70.19800000000001,7.4837630000000015,yellow,41.91
39724.97867,82.208,6.9804119999999985,red,60.96
18008.94444,73.33800000000002,9.956108,green,64.03
36180.789189999996,81.757,0.301931,green,72.49
2452.210407,64.69800000000001,1110.396331,red,37.37
3540.6515640000002,70.65,223.547,red,37.47
11605.71449,70.964,69.45357,red,44.87
4471.061906,59.545,27.499638,red,45.32
40675.99635,78.885,4.1090860000000005,green,66.91
25523.2771,80.745,6.426679,red,65.39
28569.7197,80.546,58.147733,green,65.94
7320.880262000002,72.567,2.780132,yellow,58.53
31656.06806,82.603,127.467972,red,63.03
4519.461171,72.535,6.053193,red,43.16
1463.249282,54.11,35.610177,blue,42.27
1593.06548,67.297,23.301725,red,50.06
23348.13973000001,78.623,49.04479,red,47.45
47306.98978,77.58800000000002,2.505559,red,55.56
10461.05868,71.993,3.921278,red,55.93
1569.331442,42.592,2.012649,blue,42.14
414.5073415,45.678000000000004,3.193942,blue,38.48
12057.49928,73.952,6.036914,blue,42.72
1044.770126,59.44300000000001,19.167654,blue,36.68
759.3499101,48.303000000000004,13.327079,blue,36.26
12451.6558,74.241,24.821286,red,48.46
1042.581557,54.467,12.031795,blue,33.68
1803.1514960000002,64.164,3.270065,blue,40.54
10956.99112,72.801,1.250882,blue,50.99
11977.57496,76.195,108.700891,yellow,50.79
3095.772271000001,66.803,2.874127,red,42.24
9253.896111,74.543,0.684736,green,59.16
3820.17523,71.164,33.757175,blue,42.87
823.6856205,42.082,19.951656,blue,31.29
944.0,62.068999999999996,47.76198,red,36.32
4811.060429,52.90600000000001,2.05508,blue,41.72
1091.359778,63.785,28.90179,red,36.16
36797.93332,79.762,16.570613,green,72.13
25185.00911,80.204,4.115771,black,69.39
2749.320965,72.899,5.675356,yellow,42.31
619.6768923999998,56.867,12.894865,blue,37.44
2013.9773050000001,46.858999999999995,135.031164,blue,36.32
49357.19017,80.196,4.627926,green,72.67
22316.19287,75.64,3.2048970000000003,red,37.58
2605.94758,65.483,169.270617,red,43.44
9809.185636,75.53699999999998,3.242173,yellow,55.19
4172.838464,71.752,6.667147,yellow,62.65
7408.905561,71.421,28.674757,yellow,43.9
3190.481016,71.688,91.077287,red,47.75
15389.924680000002,75.563,38.518241,green,61.31
20509.64777,78.098,10.642836,green,59.82
19328.70901,78.74600000000002,3.942491,yellow,64.28
7670.122558,76.442,0.798094,blue,52.72
10808.47561,72.476,22.276056,green,61.05
863.0884639000003,46.242,8.860588,blue,40.0
1598.435089,65.528,0.199579,blue,46.47
21654.83194,72.777,27.601038,red,39.88
1712.4721359999999,63.062,12.267493,blue,37.28
9786.534714,74.002,10.150265,green,58.0
862.5407561000003,42.56800000000001,6.1445620000000005,blue,30.33
47143.179639999995,79.972,4.5530089999999985,red,60.4
18678.31435,74.663,5.447502,green,64.36
25768.25759,77.926,2.009245,green,65.57
926.1410683,48.159,9.118773,blue,32.98
9269.657808,49.339,43.99782800000001,blue,45.01
28821.0637,80.941,40.448191,green,64.94
3970.0954070000003,72.396,20.378239,red,57.59
2602.394995,58.556000000000004,42.292929,blue,38.64
4513.480643,39.613,1.133066,blue,41.41
33859.74835,80.884,9.031088,green,71.86
37506.419069999996,81.70100000000002,7.554661,green,69.62
4184.548089,74.143,19.314747,red,45.88
28718.27684,78.4,23.174294,red,58.5
1107.482182,52.516999999999996,38.13964,blue,41.22
7458.396326999998,70.616,65.068149,red,50.85
882.9699437999999,58.42,5.701579,blue,38.6
18008.50924,69.819,1.056608,yellow,59.1
7092.923025,73.923,10.276158,blue,44.6
8458.276384,71.777,71.158647,green,43.58
1056.3801210000001,51.542,29.170398,blue,39.98
33203.26128,79.425,60.776238,green,69.18
42951.65309,78.242,301.139947,yellow,68.44
10611.46299,76.384,3.447496,yellow,66.07
11415.805690000001,73.747,26.084662,yellow,55.09
2441.576404,74.249,85.26235600000003,red,40.41
3025.349798,73.422,4.018332,red,43.16
2280.769906,62.698,22.211743,red,32.55
1271.211593,42.38399999999999,11.746035,blue,42.04
469.70929810000007,43.486999999999995,12.311143,blue,48.45
