city,year,pollutant,state,value,month,day
Indianapolis,2015,NO2,Indiana,59.0,12,365
Indianapolis,2015,O3,Indiana,0.071,12,365
Indianapolis,2015,SO2,Indiana,64.45,12,365
Long Beach,2012,CO,California,3.35,12,366
Long Beach,2012,NO2,California,97.8,12,366
Long Beach,2012,O3,California,0.066,12,366
Long Beach,2012,SO2,California,17.05,12,366
Long Beach,2013,CO,California,3.35,12,365
Long Beach,2013,NO2,California,81.2,12,365
Long Beach,2013,O3,California,0.0675,12,365
Long Beach,2013,SO2,California,10.15,12,365
Long Beach,2014,CO,California,3.1,12,365
Long Beach,2014,NO2,California,135.9,12,365
Long Beach,2014,O3,California,0.07200000000000001,12,365
Long Beach,2014,SO2,California,12.15,12,365
Long Beach,2015,CO,California,2.75,12,365
Long Beach,2015,NO2,California,74.8,12,365
Long Beach,2015,O3,California,0.066,12,365
Long Beach,2015,SO2,California,26.1,12,365
Vandenberg Air Force Base,2012,CO,California,0.45,12,366
Vandenberg Air Force Base,2012,NO2,California,13.0,12,366
Vandenberg Air Force Base,2012,O3,California,0.062,12,366
Vandenberg Air Force Base,2012,SO2,California,3.8,12,366
Vandenberg Air Force Base,2013,CO,California,1.15,12,365
Vandenberg Air Force Base,2013,NO2,California,17.0,12,365
Vandenberg Air Force Base,2013,O3,California,0.071,12,365
Vandenberg Air Force Base,2013,SO2,California,2.5,12,365
Vandenberg Air Force Base,2014,CO,California,0.95,12,365
Vandenberg Air Force Base,2014,NO2,California,38.0,12,365
Vandenberg Air Force Base,2014,O3,California,0.071,12,365
Vandenberg Air Force Base,2014,SO2,California,10.0,12,365
Vandenberg Air Force Base,2015,CO,California,0.4,12,365
Vandenberg Air Force Base,2015,NO2,California,8.0,12,365
Vandenberg Air Force Base,2015,O3,California,0.061,12,365
Vandenberg Air Force Base,2015,SO2,California,2.0,12,365
